Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time,Cost
0,0,0,0,0,0,0.0
1,4,79,137,196,96,82.0
2,71,146,271,396,296,25.0
3,151,226,351,476,376,25.0
4,231,306,431,556,456,25.0
5,303,378,503,628,528,50.0
6,453,528,626,724,624,4.0
7,560,635,727,820,720,14.0
8,695,770,895,1020,920,25.0
9,767,842,967,1092,992,50.0
10,967,1042,1167,1292,1192,25.0
11,1039,1114,1239,1364,1264,50.0
12,1239,1314,1439,1564,1464,25.0
13,1319,1394,1519,1644,1544,25.0
14,1391,1466,1591,1716,1616,50.0
15,1591,1666,1791,1916,1816,25.0
16,1671,1746,1871,1996,1896,25.0
17,1743,1818,1943,2068,1968,50.0
18,1943,2018,2143,2268,2168,25.0
19,2023,2098,2223,2348,2248,25.0
20,2095,2170,2295,2420,2320,50.0
21,2191,2266,2391,2516,2416,50.0
22,2391,2466,2591,2716,2616,25.0
23,2463,2538,2663,2788,2688,50.0
24,2663,2738,2863,2988,2888,25.0
25,2743,2818,2943,3068,2968,25.0
26,2823,2898,3023,3148,3048,25.0
27,2903,2978,3103,3228,3128,25.0
28,2975,3050,3175,3300,3200,50.0
29,3071,3146,3271,3396,3296,50.0
30,3271,3346,3471,3596,3496,25.0
31,3343,3418,3543,3668,3568,50.0
32,3543,3618,3743,3868,3768,25.0
33,3615,3690,3815,3940,3840,50.0
34,3711,3786,3911,4036,3936,50.0
35,3911,3986,4111,4236,4136,25.0
36,3991,4066,4191,4316,4216,25.0
37,4071,4146,4271,4396,4296,25.0
38,4143,4218,4343,4468,4368,50.0
39,4239,4314,4439,4564,4464,50.0
40,4335,4410,4535,4660,4560,50.0
41,4431,4506,4631,4756,4656,50.0
42,4527,4602,4727,4852,4752,50.0
43,4727,4802,4927,5052,4952,25.0
