Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time
0,0,75,82,486,82
5,20,95,106,524,100
7,23,98,108,523,108
3,28,103,117,565,116
11,39,114,126,551,124
9,42,117,130,569,132
8,42,117,132,578,135
10,57,132,149,615,149
2,59,134,160,561,152
18,69,144,160,607,160
19,76,151,169,624,175
1,82,157,197,628,197
6,110,185,229,664,229
14,139,214,258,688,258
4,126,201,261,735,261
23,101,176,269,610,269
17,162,237,287,726,287
13,175,250,316,790,316
12,186,261,336,834,325
22,150,225,333,712,333
16,194,269,338,818,341
49,136,211,345,828,345
25,220,295,378,781,378
24,203,278,398,721,392
42,223,298,401,815,401
34,236,311,412,896,407
15,235,310,409,967,422
21,257,332,425,799,425
26,250,325,426,954,428
43,244,319,450,827,441
44,254,329,456,927,456
48,302,377,468,894,471
27,259,334,498,897,498
31,254,329,512,863,512
28,287,362,521,1012,516
32,281,356,524,963,524
46,289,364,527,958,527
33,296,371,562,872,556
36,396,471,564,1013,564
37,360,435,572,964,572
47,307,382,577,916,580
20,504,579,628,866,619
29,421,496,634,1023,634
38,386,461,654,1036,654
45,346,421,673,1042,673
30,400,475,674,976,688
35,417,492,717,1231,717
39,416,491,725,1098,725
40,437,512,732,1127,740
41,439,514,763,1134,763
