Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time
0,0,75,82,486,82
5,20,95,106,524,100
7,23,98,108,523,108
3,28,103,117,565,117
11,39,114,126,551,125
9,42,117,130,569,133
8,42,117,132,578,141
10,57,132,149,615,149
18,69,144,160,607,160
19,76,151,169,624,169
2,59,134,160,561,184
1,82,157,197,628,197
6,110,185,229,664,229
14,139,214,258,688,258
4,126,201,261,735,261
17,162,237,287,726,287
13,175,250,316,790,316
12,186,261,336,834,335
16,194,269,338,818,338
15,235,310,409,967,409
