Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time,Cost
0,1,601,1154,2401,929.0,398.25
2,358,958,1073,2758,997.0,88.92
1,207,807,1359,2607,1087.0,470.56
4,499,1099,1261,2899,1177.0,120.96
7,589,1189,1323,2989,1290.0,58.08
3,381,981,1417,2781,1358.0,76.11
5,574,1174,1442,2974,1426.0,23.52
10,643,1243,1471,3043,1494.0,45.54
9,611,1211,1456,3011,1562.0,132.5
8,594,1194,1605,2994,1630.0,44.75
6,586,1186,1523,2986,1720.0,297.47
11,890,1490,1762,3290,1833.0,127.09
12,1185,1785,1907,3585,1907.0,0.0
13,1267,1867,2139,3667,2139.0,0.0
14,1632,2232,2582,4032,2554.0,40.88
18,1981,2581,2730,4381,2622.0,109.08
15,1635,2235,2779,4035,2690.0,90.78
16,1686,2286,2768,4086,2758.0,10.4
17,1791,2391,2776,4191,2826.0,63.0
20,2066,2666,2879,4466,2916.0,65.86
22,2229,2829,2940,4629,3029.0,156.64
19,2034,2634,3092,4434,3097.0,5.05
21,2119,2719,3154,4519,3210.0,109.2
23,2268,2868,3246,4668,3278.0,59.2
24,2277,2877,3424,4677,3424.0,0.0
28,2957,3557,3635,5357,3598.0,68.08
30,3089,3689,3848,5489,3711.0,205.5
27,2911,3511,3779,5311,3779.0,0.0
26,2827,3427,3858,5227,3847.0,16.5
25,2773,3373,3938,5173,3960.0,40.04
29,2968,3568,4046,5368,4050.0,4.0
32,3157,3757,4068,5557,4118.0,76.5
31,3138,3738,4041,5538,4186.0,258.1
33,3209,3809,4400,5609,4400.0,0.0
37,3759,4359,4509,6159,4509.0,0.0
35,3697,4297,4666,6097,4581.0,107.1
36,3716,4316,4651,6116,4649.0,2.56
38,4013,4613,4739,6413,4739.0,0.0
34,3658,4258,4794,6058,4829.0,64.75
42,4621,5221,5545,7021,5334.0,227.88
43,4721,5321,5548,7121,5402.0,226.3
39,4454,5054,5518,6854,5470.0,79.2
41,4543,5143,5538,6943,5538.0,0.0
40,4517,5117,5658,6917,5651.0,9.1
46,5049,5649,5739,7449,5719.0,33.8
44,4842,5442,5729,7242,5787.0,93.96
45,4921,5521,5838,7321,5877.0,70.59
47,5168,5768,5980,7568,5990.0,17.0
48,5205,5805,5977,7605,6080.0,130.81
49,5515,6115,6471,7915,6381.0,92.7
50,5781,6381,6449,8181,6449.0,0.0
52,5989,6589,6921,8389,6864.0,63.84
51,5888,6488,6954,8288,6954.0,0.0
53,6229,6829,7213,8629,7096.0,133.38
54,6291,6891,7186,8691,7186.0,0.0
56,6616,7216,7279,9016,7279.0,0.0
55,6365,6965,7282,8765,7392.0,118.8
57,6791,7391,7756,9191,7756.0,0.0
60,7183,7783,7969,9583,7940.0,39.73
59,7134,7734,8144,9534,8008.0,149.6
62,7437,8037,8098,9837,8098.0,0.0
61,7404,8004,8196,9804,8211.0,29.25
58,7125,7725,8181,9525,8279.0,179.34
63,7464,8064,8463,9864,8401.0,67.58
65,7793,8393,8514,10193,8514.0,0.0
64,7485,8085,8578,9885,8582.0,6.52
67,7844,8444,8723,10244,8650.0,108.77
69,7986,8586,8717,10386,8718.0,1.93
68,7965,8565,8853,10365,8853.0,0.0
66,7816,8416,8994,10216,8994.0,0.0
71,8484,9084,9275,10884,9275.0,0.0
70,8329,8929,9461,10729,9461.0,0.0
72,8600,9200,9551,11000,9551.0,0.0
73,8632,9232,9752,11032,9726.0,29.12
74,8727,9327,9816,11127,9816.0,0.0
76,9428,10028,10343,11828,10256.0,125.28
78,9688,10288,10473,12088,10324.0,154.96
79,9734,10334,10417,12134,10414.0,5.91
75,9330,9930,10459,11730,10504.0,82.35
80,9834,10434,10662,12234,10617.0,54.0
81,9905,10505,10684,12305,10685.0,1.84
77,9658,10258,10798,12058,10798.0,0.0
83,10012,10612,10933,12412,10920.0,23.92
85,10270,10870,11012,12670,10988.0,44.88
82,9958,10558,11031,12358,11056.0,35.75
84,10230,10830,11146,12630,11146.0,0.0
86,10343,10943,11280,12743,11236.0,73.48
91,10622,11222,11405,13022,11326.0,82.95
87,10376,10976,11380,12776,11439.0,74.93
90,10540,11140,11429,12940,11507.0,88.92
88,10416,11016,11516,12816,11575.0,63.13
89,10440,11040,11620,12840,11643.0,35.65
94,10924,11524,11649,13324,11733.0,119.28
93,10862,11462,11871,13262,11848.0,32.66
97,11212,11812,11963,13612,11916.0,90.24
92,10822,11422,11984,13222,11984.0,0.0
95,11182,11782,12096,13582,12097.0,1.73
96,11209,11809,12102,13609,12165.0,119.7
98,11257,11857,12195,13657,12278.0,94.62
99,11313,11913,12294,13713,12368.0,93.98
100,11836,12436,12905,14236,12905.0,0.0
101,12062,12662,13009,14462,13009.0,0.0
102,12215,12815,13077,14615,13077.0,0.0
103,12333,12933,13402,14733,13389.0,26.0
105,12755,13355,13457,15155,13457.0,0.0
104,12440,13040,13539,14840,13547.0,9.36
106,12926,13526,13988,15326,13851.0,147.96
109,13157,13757,14010,15557,13964.0,85.1
107,13125,13725,14032,15525,14032.0,0.0
108,13134,13734,14065,15534,14100.0,46.55
110,13261,13861,14297,15661,14251.0,59.34
111,13537,14137,14364,15937,14364.0,0.0
112,13632,14232,14424,16032,14454.0,36.3
113,13839,14439,14563,16239,14563.0,0.0
114,14013,14613,14682,16413,14682.0,0.0
115,14254,14854,14924,16654,14854.0,73.5
116,14322,14922,14989,16722,14989.0,0.0
118,14471,15071,15514,16871,15456.0,75.4
117,14340,14940,15524,16740,15524.0,0.0
119,14577,15177,15683,16977,15658.0,28.75
124,14979,15579,15726,17379,15726.0,0.0
121,14943,15543,15839,17343,15839.0,0.0
120,14797,15397,15959,17197,15959.0,0.0
122,14960,15560,16160,17360,16094.0,122.1
123,14978,15578,16162,17378,16162.0,0.0
127,15498,16098,16222,17898,16275.0,85.86
