Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time,Cost
0,0,0,0,0,0,0.0
1,4,79,79,96,96,68.0
2,69,144,144,192,192,192.0
3,129,204,204,392,392,564.0
4,189,264,264,464,464,800.0
5,245,320,320,560,560,960.0
6,453,528,528,760,760,696.0
7,560,635,635,832,832,788.0
8,655,730,730,1032,1032,906.0
9,691,766,766,1112,1112,1038.0
10,715,790,790,1184,1184,1576.0
11,845,920,920,1280,1280,1440.0
12,971,1046,1046,1461,1461,830.0
13,1031,1106,1106,1591,1591,485.0
14,1061,1136,1136,1671,1671,1605.0
15,1091,1166,1166,1751,1751,1755.0
16,1158,1233,1233,1831,1831,1794.0
17,1567,1642,1642,1903,1903,1044.0
18,1640,1715,1715,1999,1999,1136.0
19,1695,1770,1770,2180,2180,820.0
20,1999,2074,2074,2252,2252,712.0
21,2093,2168,2168,2348,2348,720.0
22,2184,2259,2259,2576,2576,317.0
23,2352,2427,2427,2656,2656,687.0
24,2406,2481,2481,2728,2728,988.0
25,2604,2679,2679,2928,2928,747.0
26,2808,2883,2883,2998,2998,230.0
27,2907,2982,2982,3098,3098,348.0
28,2971,3046,3046,3170,3170,496.0
29,3016,3091,3091,3266,3266,700.0
