Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time
2,7,82,90,497,82
3,10,85,94,502,90
4,20,95,105,527,98
7,25,100,111,529,106
5,25,100,112,540,114
8,30,105,117,540,122
6,26,101,112,536,130
9,47,122,137,587,138
13,60,135,151,604,146
18,63,138,153,590,154
12,67,142,161,639,162
16,67,142,159,612,170
17,70,145,162,616,178
19,87,162,182,658,186
0,54,129,155,559,201
1,112,187,246,726,246
11,149,224,280,734,280
14,167,242,301,760,301
10,165,240,307,789,307
15,225,300,393,931,393
