Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time,Cost
0,0,75,82,486,82.0,0.0
5,20,95,106,524,100.0,180.0
7,23,98,108,523,108.0,0.0
3,28,103,117,565,116.0,30.0
11,39,114,126,551,124.0,60.0
8,42,117,132,578,132.0,0.0
9,42,117,130,569,135.0,150.0
10,57,132,149,615,149.0,0.0
2,59,134,160,561,152.0,80.0
18,69,144,160,607,160.0,0.0
19,76,151,169,624,175.0,180.0
1,82,157,197,628,197.0,0.0
6,110,185,229,664,229.0,0.0
14,139,214,258,688,258.0,0.0
4,126,201,261,735,261.0,0.0
23,101,176,269,610,269.0,0.0
17,162,237,287,726,287.0,0.0
13,175,250,316,790,316.0,0.0
12,186,261,336,834,325.0,110.0
22,150,225,333,712,333.0,0.0
16,194,269,338,818,341.0,30.0
49,136,211,345,828,345.0,0.0
25,220,295,378,781,378.0,0.0
15,235,310,409,967,387.0,220.0
24,203,278,398,721,395.0,45.0
42,223,298,401,815,401.0,0.0
34,236,311,412,896,410.0,30.0
21,257,332,425,799,425.0,0.0
26,250,325,426,954,428.0,40.0
43,244,319,450,827,441.0,90.0
44,254,329,456,927,456.0,0.0
48,302,377,468,894,471.0,45.0
27,259,334,498,897,498.0,0.0
31,254,329,512,863,512.0,0.0
28,287,362,521,1012,516.0,75.0
32,281,356,524,963,524.0,0.0
46,289,364,527,958,527.0,0.0
33,296,371,562,872,556.0,60.0
36,396,471,564,1013,564.0,0.0
37,360,435,572,964,569.0,60.0
47,307,382,577,916,577.0,0.0
20,504,579,628,866,619.0,135.0
29,421,496,634,1023,634.0,0.0
38,386,461,654,1036,654.0,0.0
45,346,421,673,1042,673.0,0.0
30,400,475,674,976,688.0,210.0
35,417,492,717,1231,717.0,0.0
39,416,491,725,1098,725.0,0.0
40,437,512,732,1127,740.0,120.0
41,439,514,763,1134,763.0,0.0
