Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time,Cost
0,1,601,1157,2401,912,281.75
2,123,723,1068,2523,980,116.16
3,269,869,1181,2669,1048,218.12
5,378,978,1123,2778,1116,9.1
1,72,672,1233,2472,1229,5.28
7,481,1081,1297,2881,1297,0.0
8,530,1130,1276,2930,1365,145.96
6,475,1075,1337,2875,1455,178.18
9,548,1148,1549,2948,1568,32.87
4,290,890,1408,2690,1636,435.48
11,728,1328,1706,3128,1704,2.1
10,714,1314,1742,3114,1772,34.5
12,892,1492,1832,3292,1885,53.0
14,1216,1816,2016,3616,2016,0.0
15,1280,1880,2186,3680,2186,0.0
13,1141,1741,2311,3541,2276,37.8
16,1474,2074,2274,3874,2344,76.3
18,1674,2274,2524,4074,2496,42.84
17,1602,2202,2564,4002,2564,0.0
23,2314,2914,3069,4714,2981,94.16
19,2019,2619,3094,4419,3094,0.0
21,2213,2813,3261,4613,3261,0.0
20,2073,2673,3268,4473,3329,63.44
25,2648,3248,3406,5048,3397,16.74
22,2226,2826,3396,4626,3465,97.98
24,2384,2984,3536,4784,3555,22.23
27,2987,3587,3707,5387,3707,0.0
26,2878,3478,3832,5278,3832,0.0
29,3287,3887,4161,5687,4161,0.0
28,3139,3739,4301,5539,4298,5.13
30,3340,3940,4411,5740,4411,0.0
32,3584,4184,4410,5984,4479,91.77
31,3420,4020,4611,5820,4611,0.0
33,3597,4197,4727,5997,4688,39.0
35,3818,4418,4843,6218,4823,27.8
34,3650,4250,4849,6050,4891,61.74
37,4078,4678,4959,6478,4959,0.0
36,3967,4567,4804,6367,5049,289.1
38,4344,4944,5198,6744,5198,0.0
39,4568,5168,5329,6968,5288,54.12
40,4569,5169,5378,6969,5378,0.0
42,4735,5335,5610,7135,5550,76.8
41,4685,5285,5677,7085,5663,18.9
43,4905,5505,5852,7305,5731,128.26
44,4929,5529,5866,7329,5866,0.0
47,5231,5831,5901,7631,5934,35.64
45,5006,5606,5852,7406,6002,214.5
46,5142,5742,6057,7542,6092,59.5
50,5898,6498,6602,8298,6530,142.56
51,5939,6539,6643,8339,6643,0.0
48,5572,6172,6661,7972,6733,141.84
49,5729,6329,6912,8129,6912,0.0
53,6212,6812,7032,8612,7032,0.0
52,6058,6658,7030,8458,7122,127.88
54,6372,6972,7267,8772,7267,0.0
55,6472,7072,7386,8872,7386,0.0
56,6608,7208,7542,9008,7542,0.0
57,6940,7540,8059,9340,7636,532.98
58,7057,7657,7839,9457,7726,223.74
62,7216,7816,7970,9616,7839,227.94
65,7283,7883,8039,9683,7907,155.76
59,7059,7659,8070,9459,7975,162.45
63,7223,7823,7907,9623,8043,137.36
67,7433,8033,8101,9833,8111,13.0
60,7113,7713,8162,9513,8179,22.44
61,7135,7735,8317,9535,8269,87.36
69,7548,8148,8406,9948,8382,35.04
68,7472,8072,8437,9872,8450,23.14
71,7765,8365,8452,10165,8518,132.0
64,7230,7830,8348,9630,8586,326.06
66,7341,7941,8541,9741,8654,211.31
77,8092,8692,8803,10492,8767,70.2
78,8180,8780,8891,10580,8857,46.92
75,7976,8576,8939,10376,8925,26.18
73,7886,8486,8955,10286,9015,110.4
74,7934,8534,9089,10334,9105,25.6
80,8390,8990,9271,10790,9218,74.2
76,8030,8630,9169,10430,9286,200.07
72,7803,8403,8551,10203,9354,875.27
81,8404,9004,9362,10804,9422,102.6
70,7669,8269,8733,10069,9512,872.48
79,8311,8911,9231,10711,9602,404.39
82,8705,9305,9722,11105,9722,0.0
83,9305,9905,9997,11705,9997,0.0
84,9375,9975,10252,11775,10252,0.0
85,10188,10788,10995,12588,10995,0.0
86,10204,10804,11104,12604,11108,5.72
88,10529,11129,11523,12929,11445,78.78
87,10529,11129,11513,12929,11513,0.0
89,10827,11427,12019,13227,12019,0.0
90,10957,11557,12133,13357,12133,0.0
94,11782,12382,12469,14182,12382,105.27
91,11303,11903,12432,13703,12450,34.02
92,11411,12011,12515,13811,12518,5.61
93,11623,12223,12599,14023,12653,88.56
95,12064,12664,12909,14464,12909,0.0
97,12369,12969,13203,14769,13163,68.4
96,12352,12952,13309,14752,13253,91.28
102,12655,13255,13502,15055,13321,356.57
100,12596,13196,13547,14996,13389,248.06
98,12509,13109,13483,14909,13457,50.7
101,12608,13208,13611,15008,13547,67.2
103,12856,13456,13745,15256,13637,160.92
99,12577,13177,13617,14977,13750,142.31
105,12932,13532,13837,15332,13818,23.37
108,13026,13626,13833,15426,13886,62.01
107,13003,13603,13963,15403,13954,9.54
104,12861,13461,13809,15261,14022,242.82
109,13173,13773,13863,15573,14090,308.72
106,12962,13562,14155,15362,14180,32.0
110,13381,13981,14089,15781,14293,252.96
113,13523,14123,14307,15923,14361,86.94
111,13439,14039,14363,15839,14429,83.16
112,13463,14063,14606,15863,14601,6.2
116,13953,14553,14693,16353,14669,24.72
120,14149,14749,14987,16549,14759,234.84
115,13860,14460,14949,16260,14872,91.63
117,14019,14619,14931,16419,14940,12.51
119,14098,14698,15008,16498,15008,0.0
121,14169,14769,14902,16569,15098,252.84
114,13857,14457,14907,16257,15211,322.24
122,14352,14952,15264,16752,15279,22.5
118,14082,14682,15139,16482,15347,230.88
123,14652,15252,15448,17052,15460,17.28
124,14754,15354,15569,17154,15539,32.4
125,14777,15377,15629,17177,15629,0.0
126,14913,15513,15739,17313,15722,23.97
127,15082,15682,15812,17482,15812,0.0
128,15195,15795,15868,17595,15902,59.16
131,15413,16013,16238,17813,16238,0.0
132,15443,16043,16404,17843,16404,0.0
129,15323,15923,16504,17723,16504,0.0
130,15349,15949,16510,17749,16617,111.28
133,16049,16649,17142,18449,16947,237.9
134,16084,16684,17151,18484,17015,172.72
137,16420,17020,17109,18820,17083,37.44
135,16234,16834,17173,18634,17173,0.0
138,16477,17077,17170,18877,17263,109.74
136,16240,16840,17311,18640,17353,81.48
139,16728,17328,17514,19128,17514,0.0
140,16777,17377,17668,19177,17668,0.0
141,16897,17497,18088,19297,18088,0.0
142,17289,17889,18468,19689,18468,0.0
143,17510,18110,18625,19910,18625,0.0
144,17842,18442,18697,20242,18697,0.0
145,17881,18481,18809,20281,18787,23.76
146,17912,18512,18837,20312,18877,48.0
149,18415,19015,19122,20815,19122,0.0
147,18339,18939,19199,20739,19199,0.0
148,18350,18950,19331,20750,19331,0.0
