Plane Order,Appearence Time,Earliest Time,Target Time,Latest Time,Actual Landing Time,Cost
2,7,82,90,497,82,240.0
3,10,85,94,502,90,120.0
4,20,95,105,527,98,210.0
7,25,100,111,529,106,150.0
6,26,101,112,536,114,60.0
5,25,100,112,540,122,300.0
8,30,105,117,540,130,390.0
9,47,122,137,587,138,30.0
13,60,135,151,604,146,150.0
18,63,138,153,590,154,30.0
16,67,142,159,612,162,90.0
12,67,142,161,639,170,270.0
17,70,145,162,616,178,480.0
19,87,162,182,658,186,120.0
0,54,129,155,559,201,460.0
1,112,187,246,726,246,0.0
11,149,224,280,734,280,0.0
14,167,242,301,760,301,0.0
10,165,240,307,789,307,0.0
15,225,300,393,931,393,0.0
